Bank_ID,Card_Link,Card_Image,Card_ID,Card_Type,Card_Network,Islamic,Minimum_Income,Minimum_Age,Minimum_Credit_Limit,Eligibility_Requirements,Employment_Type,Nationality,Residency_Required,Credit_Score_Required,Bank_Relationship_Required,Fatwa_Approval,"Uncategorized - : Simply relax, or concentrate",Uncategorized - : Now redeem your Exceed Rewar,Uncategorized - : 0.5 Exceed Rewards for every,Uncategorized - : Drive with complete peace of,"Uncategorized - Exceed Rewards
0.5 Exceed Rewa",Uncategorized - : Optional Takaful cover provi,Uncategorized - :,Uncategorized - : Golf for Cardholder and a gu,Uncategorized - : ADIB Online Banking – visit ,Uncategorized - : The following bills can be p,"Uncategorized - : Get welcome bonus of 50,000 ",Uncategorized - : For your convenience there a,Uncategorized - : Balance Transfer,Uncategorized - : Emirates Skywards Silver mem,Uncategorized - : Flash your Card at the Valet,"Uncategorized - : Get welcome bonus of 25,000 ",Uncategorized - : Golf for Cardholder.,Uncategorized - : Download the Etihad Guest ap,Uncategorized - : Advanced technology means bo,Uncategorized - : Experience the benefits of E,"Uncategorized - : Welcome bonus of 50,000 Etih",Uncategorized - : Valet parking at select loca,Uncategorized - Ways To Pay:,Uncategorized - : Water and Electricity bills ,Uncategorized - : Purchase Protection,Uncategorized - : Balance Transfer:,Uncategorized - : With your ADIB card you can ,Uncategorized - : Show your ADIB Smiles Visa S,"Uncategorized - : Get 70,000 Smiles points upo","Uncategorized - : Balance Transfer:
Use Balanc","Uncategorized - : Purchase Protection
Customer",Uncategorized - : Redeem your Smiles points to,"Uncategorized - : 5,000 Smiles points upon sig",Uncategorized - : Covered Card limit up to AED,Uncategorized - : Option to use ADIB Direct (O,Uncategorized - : 60% Cash withdrawal limit,Uncategorized - : To manage your money on-the-,Uncategorized - : Through any of the 600+ ADIB,Uncategorized - : Presence in 130 countries
7,https://www.adib.com/en/Pages/exceed-Visa-Platinum-Covered-Card.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/exceed-rewards-visa-platinum-card.png,,0,0,False,N/A,N/A,0,"Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.adib.ae/en/Pages/ADIB-Emirates-Skywards-Visa-Infinite-Card.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/emirates-skywards-visa-infinite-card.png,Emirates Skywards Visa Infinite Card,0,0,False,N/A,N/A,0,"Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.adib.ae/en/Pages/ADIB-Emirates-Skywards-Visa-Signature-Card.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/emirates-skywards-visa-signature-card.png,Emirates Skywards Visa Signature Card,0,0,False,N/A,N/A,0,"Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.adib.ae/en/Pages/Personal_Cards_Etihad_Classic.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/etihad-guest-classic-covered-card.png,Etihad Guest Visa Classic Card,0,0,False,N/A,N/A,0,"Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.adib.ae/en/Pages/Personal_Cards_Etihad_Platinum.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/etihad-guest-visa-platinum-covered-card.png,Etihad Guest Visa Platinum Card,0,0,False,N/A,N/A,0,"Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.adib.com/en/personal/cards/etihad-cards/adib-etihad-gold-card,https://www.adib.ae/-/media/project/adib/adibsite/cards/etihad-guest-gold-covered-card.png,Etihad Guest Visa Gold Card,0,0,False,N/A,N/A,0,"Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.adib.com/en/Pages/New-Cashback-Gold-Card.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/adib-cashback-covered-card.png,Cashback Visa Covered Card,0,0,False,N/A,N/A,0,"Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.adib.ae/en/Pages/booking-signature-card.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/bookingcom-visa-signature-card.png,Booking.Com Visa Signature Card,0,0,False,N/A,N/A,0,"Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.adib.ae/en/Pages/Smilesvisa-Signature-Card.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/smiles-visa-signature-card.png,Smiles Visa Signature Card,0,0,False,N/A,N/A,0,"Minimum salary - AED 20,000
Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
7,https://www.adib.ae/en/Pages/Smiles-Classic-Card.aspx,https://www.adib.ae/-/media/project/adib/adibsite/cards/smiles-classic-card.png,Smiles Visa Classic Card,0,0,False,N/A,N/A,0,"Minimum salary - AED 5,000
Original and copy of valid passport
Original and copy of valid Emirates ID
Bank account statement (last 3 months)
Salary certificate from current employer (not more than 30 days old)",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
